,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3738,WBTCUSDT,BTCUSDT,0.0,-4.48,-3.34,1.0,392
1971,QNTUSDT,BUSDUSDT,0.02,-3.7,-3.34,99.59,63
537,USDTIDRT,TUSDUSDT,0.0,-4.95,-3.34,15310.62,59
1969,QNTUSDT,TUSDUSDT,0.03,-3.56,-3.34,99.69,59
3632,PROMUSDT,QTUMUSDT,0.0,-4.53,-3.34,1.75,49
651,ANTUSDT,WAVESUSDT,0.0,-4.33,-3.34,2.56,43
253,ATOMUSDT,FXSUSDT,0.0,-4.71,-3.34,1.28,42
1052,AXSUSDT,BALUSDT,0.05,-3.36,-3.34,1.37,39
381,BUSDTRY,EGLDUSDT,0.05,-3.35,-3.34,0.99,37
3647,PROMUSDT,WAVESUSDT,0.0,-4.52,-3.34,2.44,37
1738,ARUSDT,QTUMUSDT,0.02,-3.69,-3.34,1.99,34
960,USDTBRL,TOMOUSDT,0.04,-3.44,-3.34,3.7,34
991,FILUSDT,ATMUSDT,0.02,-3.72,-3.34,1.37,33
963,FILUSDT,QTUMUSDT,0.02,-3.64,-3.34,1.55,31
636,ANTUSDT,QTUMUSDT,0.0,-4.36,-3.34,1.84,26
236,ATOMUSDT,BUSDUSDT,0.02,-3.76,-3.34,7.54,23
235,ATOMUSDT,TUSDUSDT,0.02,-3.74,-3.34,7.54,23
771,UNIUSDT,QTUMUSDT,0.02,-3.62,-3.34,2.21,20
490,USDTZAR,BANDUSDT,0.01,-3.8,-3.34,17.66,19
2675,ENSUSDT,BUSDUSDT,0.01,-4.04,-3.34,8.18,19
2666,ENSUSDT,TUSDUSDT,0.01,-3.88,-3.34,8.19,19
2667,ENSUSDT,USDCUSDT,0.03,-3.53,-3.34,8.18,19
959,USDTBRL,MTLUSDT,0.04,-3.43,-3.34,3.92,18
3519,GNSUSDT,BUSDUSDT,0.01,-4.06,-3.34,3.85,16
3487,RPLUSDT,USDCUSDT,0.0,-4.18,-3.34,24.76,15
3484,RPLUSDT,TUSDUSDT,0.0,-5.02,-3.34,24.79,15
19,BTCUSDT,USDTDAI,0.04,-3.41,-3.34,27241.18,14
182,ETCUSDT,BANDUSDT,0.04,-3.45,-3.34,15.0,13
1217,OGUSDT,TUSDUSDT,0.0,-4.96,-3.34,4.26,12
8,BTCUSDT,BUSDUSDT,0.03,-3.59,-3.34,27216.35,12
244,ATOMUSDT,OGUSDT,0.05,-3.37,-3.34,1.73,12
380,BUSDTRY,TRBUSDT,0.04,-3.46,-3.34,1.36,11
784,UNIUSDT,BUSDUSDT,0.0,-4.14,-3.34,5.05,11
796,UNIUSDT,USDTDAI,0.02,-3.73,-3.34,5.06,11
773,UNIUSDT,USDCUSDT,0.02,-3.72,-3.34,5.05,11
3454,HIFIUSDT,ENJUSDT,0.04,-3.46,-3.34,1.88,10
86,BNBUSDT,USDTDAI,0.03,-3.53,-3.34,224.29,9
400,BUSDTRY,RPLUSDT,0.05,-3.37,-3.34,1.09,9
1189,PSGUSDT,LDOUSDT,0.0,-4.16,-3.34,2.03,9
61,BNBUSDT,TUSDUSDT,0.01,-3.77,-3.34,224.31,9
2615,MOVRUSDT,BUSDUSDT,0.0,-4.78,-3.34,4.51,8
